epoch,step,train_loss_epoch,train_loss_step,val_mean_iou
0,9,,120.8152084350586,
0,19,,112.309814453125,
0,29,,107.67691040039062,
0,39,,104.04066467285156,
0,49,,104.36399841308594,
0,59,,101.58232879638672,
0,69,,99.89138793945312,
0,79,,100.40816497802734,
0,89,,97.57073211669922,
0,99,,98.02649688720703,
0,105,,,0.016109704971313477
0,105,107.13651275634766,,
1,109,,96.7491683959961,
1,119,,96.05403137207031,
1,129,,94.67826080322266,
1,139,,93.9664306640625,
1,149,,95.30044555664062,
1,159,,92.60348510742188,
1,169,,90.63733673095703,
1,179,,87.43054962158203,
1,189,,84.96922302246094,
1,199,,80.49507141113281,
1,209,,79.42725372314453,
1,211,,,0.08116035163402557
1,211,90.41114807128906,,
2,219,,79.42115783691406,
2,229,,77.0490951538086,
2,239,,76.65819549560547,
2,249,,74.9408950805664,
2,259,,74.02738952636719,
2,269,,73.28555297851562,
2,279,,72.37300872802734,
2,289,,71.5079345703125,
2,299,,73.18834686279297,
2,309,,72.46880340576172,
2,317,,,0.1108517050743103
2,317,74.802490234375,,
3,319,,72.97618103027344,
3,329,,72.51293182373047,
3,339,,72.42168426513672,
3,349,,71.3572998046875,
3,359,,69.60493469238281,
3,369,,70.4719009399414,
3,379,,72.30399322509766,
3,389,,73.90728759765625,
3,399,,71.37346649169922,
3,409,,72.88655090332031,
3,419,,68.8739013671875,
3,423,,,0.12578466534614563
3,423,71.70887756347656,,
4,429,,72.65447235107422,
4,439,,68.89733123779297,
4,449,,70.90335845947266,
4,459,,73.98075103759766,
4,469,,72.82196807861328,
4,479,,68.53868865966797,
4,489,,70.4978256225586,
4,499,,73.29737854003906,
4,509,,70.43550109863281,
4,519,,70.73201751708984,
4,529,,71.50920104980469,
4,529,,,0.11189650744199753
4,529,71.38385009765625,,
5,539,,69.54962921142578,
5,549,,67.89720916748047,
5,559,,68.33741760253906,
5,569,,70.0306396484375,
5,579,,67.40440368652344,
5,589,,67.09854125976562,
5,599,,70.04048156738281,
5,609,,69.16149139404297,
5,619,,68.30812072753906,
5,629,,68.22511291503906,
5,635,,,0.11720840632915497
5,635,69.2014389038086,,
6,639,,69.61217498779297,
6,649,,69.87224578857422,
6,659,,67.73368835449219,
6,669,,66.47748565673828,
6,679,,67.53646850585938,
6,689,,64.75056457519531,
6,699,,66.91201782226562,
6,709,,64.3924331665039,
6,719,,65.1501235961914,
6,729,,65.04750061035156,
6,739,,63.96355056762695,
6,741,,,0.2128402292728424
6,741,66.67973327636719,,
7,749,,63.662845611572266,
7,759,,63.88361740112305,
7,769,,62.94312286376953,
7,779,,63.28387451171875,
7,789,,63.92116928100586,
7,799,,64.510498046875,
7,809,,63.97795104980469,
7,819,,67.36851501464844,
7,829,,64.16278839111328,
7,839,,61.24237060546875,
7,847,,,0.2192067801952362
7,847,63.935523986816406,,
8,849,,63.18824768066406,
8,859,,62.80827713012695,
8,869,,59.481204986572266,
8,879,,61.298805236816406,
8,889,,61.151268005371094,
8,899,,60.45946502685547,
8,909,,59.22945022583008,
8,919,,62.6120491027832,
8,929,,60.385353088378906,
8,939,,59.58885955810547,
8,949,,60.55290603637695,
8,953,,,0.22003015875816345
8,953,61.3870735168457,,
9,959,,60.61098098754883,
9,969,,58.978519439697266,
9,979,,57.43592071533203,
9,989,,58.47602844238281,
9,999,,59.24224853515625,
9,1009,,57.68977737426758,
9,1019,,59.07353591918945,
9,1029,,58.75926971435547,
9,1039,,57.39561080932617,
9,1049,,53.634918212890625,
9,1059,,53.7216911315918,
9,1059,,,0.24781754612922668
9,1059,58.67984390258789,,
10,1069,,56.968841552734375,
10,1079,,55.78293228149414,
10,1089,,55.33281707763672,
10,1099,,55.419525146484375,
10,1109,,54.60481262207031,
10,1119,,53.33650588989258,
10,1129,,54.407554626464844,
10,1139,,56.30439376831055,
10,1149,,54.14078903198242,
10,1159,,54.08829879760742,
10,1165,,,0.2746267318725586
10,1165,55.13507843017578,,
11,1169,,57.18185806274414,
11,1179,,53.74534225463867,
11,1189,,52.778045654296875,
11,1199,,52.7303466796875,
11,1209,,51.757286071777344,
11,1219,,52.055728912353516,
11,1229,,51.28223419189453,
11,1239,,51.576866149902344,
11,1249,,56.5130729675293,
11,1259,,50.650245666503906,
